,Unnamed: 0,기준일자,기업명,종목코드,이연법인세부채,분기코드,비유동부채,비지배지분,유형자산의 처분,유동자산,무형자산의 취득,기타포괄손익,유동부채,자본금,유형자산의 취득,현금및현금성자산,재고자산,매출원가,자산총계,비유동자산,무형자산,이자의 지급,유형자산,이자의 수취,매출총이익,부채총계,금융수익,사업년도,분기명,주가코드,분기종가,발행주식수,PSR,GP/A
73,73,20201119,POSCO홀딩스,00155319,1021937192074.0,11014,7310016434911,48962318409,-64430911347.0,20873341426052,118999583618,5959741109,5646183881518,482403125000,1817307024585,2986905929287,3852918522825.0,6064350693634,58325739070496,37452397644444,667803696578,161098043688.0,20085559850095,156619086296,513536027093,12956200316429,-573675913486,2020,3분기,005490,236000,1746110000741,62.646557727484236,0.8804621000555337
74,74,20210304,POSCO홀딩스,00155319,848316508827.0,11011,6591153732744,155072093371,-102353755541.0,19579953330110,101427245510,-61783269016,5089110669881,482403125000,2450816085965,1822659511020,4093829396206.0,24323352080110,56794968501529,37215015171419,621926266536,230536965914.0,20216932016206,197306223923,2186568366074,11680264402625,-779150335638,2020,4분기,005490,309000,1746110000741,20.352682359959132,3.84993323134801
75,75,20210524,POSCO홀딩스,00155319,884405989711.0,11013,6831454100630,129340680525,-16803850801.0,20397788524951,18804565960,75016177618,5753568365825,482403125000,370230464150,1828882715194,4758851478149.0,6466896335617,58265314086534,37867525561583,590373046056,51859473305.0,20078791653983,31087456712,1333550234876,12585022466455,-471811248080,2021,1분기,005490,355500,1746110000741,79.57776515148845,2.2887549063846957
76,76,20210813,POSCO홀딩스,00155319,902703516477.0,11012,6850031810265,133390677713,-31683769749.0,21057743395812,23448209614,33581653799,5347755646162,482403125000,753743320997,1681125879120,5324505558326.0,7412042388375,59000649918779,37942906522967,563500617592,100349928445.0,19930520304193,66342747455,1865310892744,12197787456427,-682276712573,2021,2분기,005490,341000,1746110000741,64.18032085341297,3.1615090601744376
77,77,20211115,POSCO홀딩스,00155319,848960313901.0,11014,8764362173631,230095933020,-45611869967.0,24842655660060,34435584716,-19283080578,6270412022556,482403125000,1198495931927,2423235053053,6528000781715.0,8712577623117,63353600632409,38510944972349,549698611904,151397806816.0,19774323641806,99668668182,2602146009355,15034774196187,-1133962906386,2021,3분기,005490,285000,1746110000741,43.98175036136186,4.1073372047994585
78,78,20221114,POSCO홀딩스,00155319,747652538063.0,11011,7339064914051,628917523612,-59806284373.0,25918879999015,49477724415,115536077192,7868269046806,482403125000,1968288884784,2042273512181,7623202043450.0,32136438491188,64242758955889,38323878956874,551410426109,-716639599180.0,19772298550978,144368849328,7783762345436,15207333960857,-1276011130544,2021,4분기,005490,294500,1746110000741,12.881433070007375,12.116170712376416
79,79,20220516,POSCO홀딩스,00155319,3009177081728.0,11013,4467709468629,214947479400,-14485002642.0,5875723628951,8668278674,14451991543,1740014138694,482403125000,355821595282,532410194795,,6465259462743,53333865909937,47458142280986,13676722585,50424126884.0,143758772501,38674284562,2928765425577,6207723607323,-125555822774,2022,1분기,005490,281000,1746110000741,52.230744121007824,5.49138033706895
80,80,20220816,POSCO홀딩스,00155319,2947065492192.0,11012,4318126500164,254454407727,-14485002642.0,4060603659405,8668278674,-180818983408,345619300214,482403125000,355821595282,251505029994,,-190076440,51483262433593,47422658774188,13513844769,50424126884.0,143189169662,62434274729,2733139872051,4663745800378,-258483606915,2022,2분기,005490,258000,1746110000741,164.83887882413933,5.308793077315973
81,81,20221114,POSCO홀딩스,00155319,2785763487427.0,11014,4201026696794,213864027182,-14485002642.0,3457736374418,9519018576,-13412420521,125078244418,482403125000,356941976458,452734593196,,-950323950,50860490239671,47402753865253,14401244987,50424126884.0,142646703013,87251112870,1607959638506,4326104941212,-359096307742,2022,3분기,005490,294500,1746110000741,319.9915461350644,3.161510301864525
82,82,20230309,POSCO홀딩스,00155319,2480379296280.0,11011,3858263509655,413709215105,-14447214917.0,4308290115146,10194840491,-112325245211,118993021955,482403125000,359532593243,1415201182566,,6463245690193,51149119209287,46840829094141,15901608719,50424126884.0,145005572040,44614715351,7649292423855,3977256531610,-346941713822,2022,4분기,005490,322500,1746110000741,39.90214025912371,14.954885914176486
83,83,20230515,POSCO홀딩스,00155319,2479965237979.0,11013,4003858338544,162765430814,,4666743175229,753468732,122004644182,228123536969,482403125000,5361715720,1306944978428,15028038621129.0,-1414087500,51928754579356,47262011404127,16173368781,,139554789507,12615242265,1373435600518,4231981875513,-158017590224,2023,1분기,005490,368000,1746110000741,468.33702983216847,2.6448460234476756
