,Name,Date,Open,High,Low,Close,Volume,Change,Code,MA_5,fast_%K,slow_%K,slow_%D,RSI,STD,Upper,Lower,Score,label,Predict,Prob_1,fast_10,pos_score,pos_title,neg_score,neg_title,MA_10
1779,현대차,2020-01-03,118500,119000,115000,116000,1145187,-0.0169491525423728,5380,119500.0,12.5,12.21428571428569,33.347619047619034,41.66666666666666,2116.8186159020547,123733.63723180412,115266.36276819588,0.5667,0,0,0.26721323,10.0,0.87,전 세계서 통한 코나 일렉트릭 현대 기아 전기차 수출 2배 껑충,0.808,현대 쌍용차 지난해 내수 선방 한국GM 르노삼성 부진,121250.0
1780,현대차,2020-01-06,116000,117000,115500,116000,334574,0.0,5380,118200.0,15.384615384615383,9.576923076923055,22.45347985347984,38.23529411764706,2319.68123944422,122839.36247888843,113560.63752111157,0.9412,0,0,0.34569237,10.0,0.844,유럽 누빌 현대차 수소트럭 미래엔 넵튠 이 간다,0.571, 현대차 양적 성장보다 수익성 초점 맞추는 2020년 ,120550.0
1781,현대차,2020-01-07,116500,117000,115500,115500,674196,-0.0043103448275861,5380,117200.0,7.6923076923076925,9.115384615384594,15.067032967032947,33.33333333333333,2508.406917379192,122216.8138347584,112183.1861652416,1.0,0,0,0.27394667,5.0,1.0,현대차 팰리세이드 5만 대 클럽 입성,,,119750.0
1782,현대차,2020-01-08,115000,115500,111500,112000,1044825,-0.0303030303030302,5380,115500.0,5.263157894736842,8.16801619433196,11.09111239637554,30.55555555555556,3087.6451595960334,121675.29031919206,109324.70968080794,0.9,1,0,0.23050708,3.7037037037037033,0.875, 호텔신라 4분기 실적 양호 투자의견 목표가상승 현대차,0.591,해넘긴 현대제철 임금협상 연초 타결될까,118550.0
1783,현대차,2020-01-09,113000,114500,110000,111500,1375510,-0.0044642857142856,5380,114200.0,16.666666666666664,11.501349527665294,10.115191825718124,16.129032258064512,3606.5547052697134,121413.10941053944,106986.89058946056,0.8333,1,0,0.3765757,11.538461538461538,0.85,미국서 씽씽 달린 SUV 현대 기아차 웃었다,0.75,현대제철 국내외 수요부진 탓 4Q 영업적자 전망 목표가하락 현대차,117450.0
1784,현대차,2020-01-10,112500,114500,112000,113500,896507,0.0179372197309417,5380,113700.0,50.0,19.00134952766529,11.472604588394043,21.212121212121204,3837.488213593823,121374.97642718763,106025.02357281237,0.6364,1,1,0.509003,26.923076923076923,0.65, 시장 후진에도 현대 기아차는 씽씽,0.824, 현대차 노조 덕 근로손실일수 20년만에 최저,116600.0
1785,현대차,2020-01-13,113500,115500,113000,115000,692917,0.0132158590308371,5380,113500.0,71.42857142857143,30.210140736456506,15.599248120300734,25.71428571428572,3945.6838510744105,121391.36770214884,105608.63229785116,0.7391,1,1,0.6015212,43.47826086956522,0.75,현대차 5년내 시장서 100만대 팔겠다 ,0.95,법원 현대차 대리점 딜러는 현대차 직원 아니다 원고 패소,115850.0
1786,현대차,2020-01-14,115500,117000,115500,116000,739959,0.0086956521739129,5380,113600.0,85.71428571428571,45.81453634085212,22.93907846539424,27.77777777777777,3988.140313215238,121576.28062643048,105623.71937356952,0.7,1,1,0.6020461,52.17391304347826,0.909,기아차 텔루라이드 미국서 현대차 링컨 꺾었다,0.833,기아차 새해 첫 파업 시동 현대차만큼 달라 ,115400.0
1787,현대차,2020-01-15,116000,116000,114000,115000,564142,-0.0086206896551723,5380,114200.0,71.42857142857143,59.04761904761902,33.11499903605166,28.57142857142857,4031.455268131491,122262.91053626298,106137.08946373702,1.0,1,1,0.5582978,45.45454545454545,0.714,현대차 제네시스 첫 SUV GV80 출시 영상 보니 ,,,114850.0
1788,현대차,2020-01-16,117000,120000,116500,118500,1638719,0.0304347826086957,5380,115600.0,81.25,71.9642857142857,45.207586273375725,41.463414634146346,4029.088312705088,123658.17662541018,107541.82337458982,0.8261,1,1,0.7720964,85.0,0.889,현대차 올해 넥쏘 1만대 판매 목표 수소차 시장 선도 ,0.714, 시그널 투자사도 현대차 매도 지분율 대폭율 대폭 축소,114900.0
1789,현대차,2020-01-17,118500,120000,118000,118500,574301,0.0,5380,116600.0,78.57142857142857,77.6785714285714,56.94303065355696,40.0,3938.34055355644,124476.68110711288,108723.31889288712,1.0,1,1,0.64315784,85.0,0.889, 현대 수소차 넥쏘 올 1만 대 판매 ,,,115150.0
1790,현대차,2020-01-20,119500,119500,117500,118000,445922,-0.0042194092827003,5380,117200.0,66.66666666666666,76.72619047619045,66.24624060150374,43.24324324324324,3772.825271108317,124745.65054221664,109654.34945778336,1.0,1,1,0.50342035,80.0,0.875,KTB 현대차 4분기 실적 컨센서스 충족 목표가는 하향 ,,,115350.0
1791,현대차,2020-01-21,118000,118500,116500,117000,545156,-0.0084745762711864,5380,117400.0,50.0,69.58333333333331,70.99999999999997,41.02564102564102,3542.5050607248104,124485.01012144962,110314.98987855038,0.9375,1,0,0.42703727,70.0,0.833, 특징주 현대공업 제네시스 판매량 확대 기대감에 급등,0.533,현대차증권 중국 ABCP 소송서 승소 텔레그램 채권거래 효력 없어 ,115500.0
1792,현대차,2020-01-22,117500,127000,117500,127000,2773421,0.0854700854700853,5380,119800.0,100.0,75.29761904761902,74.24999999999997,66.66666666666666,3874.5967532115833,127549.19350642317,112050.80649357683,1.0,1,1,0.77987957,100.0,1.0, 1보 현대차 작년 영업이익 3조6847억원 전년 52 상승,,,117000.0
1793,현대차,2020-01-23,130000,131500,128000,130500,2492785,0.0275590551181101,5380,122200.0,93.33333333333331,77.7142857142857,75.39999999999999,75.43859649122807,4710.779910844787,131621.55982168956,112778.44017831044,0.9815,1,1,0.76241994,94.87179487179486,0.923, 팰리세이드 텔루라이드 현대기아차 SUV 호실적 일등공신 ,0.5,현대차 판매대수 줄었는데 매출 신기록 이유는 ,118900.0
1794,현대차,2020-01-28,127000,132500,127000,131000,1841752,0.0038314176245211,5380,124700.0,90.625,80.12499999999997,75.8892857142857,75.86206896551724,5464.899960561507,135629.79992112302,113770.20007887698,0.9643,1,1,0.699709,92.3076923076923,0.857,현대기아차 작년 전기차 판매 글로벌 5위,0.538,현대차 특허청 중소기업 기술 탈취 시정 권고 취소 소송 제기 각하,120650.0
1795,현대차,2020-01-29,132000,133000,129000,131000,1318578,0.0,5380,127300.0,87.87878787878788,84.36742424242422,77.41753246753245,77.19298245614036,6078.218229226644,139456.4364584533,115143.56354154673,0.75,1,1,0.666894,89.47368421052632,0.778, 코로나바이러스 막아라 현대차그룹 25억원 지원,0.875,현대차 비정규직 노조 근로자 지위 인정하라 법원앞 농성 돌입,122250.0
1796,현대차,2020-01-30,130000,130500,126500,127500,1034661,-0.0267175572519083,5380,129400.0,64.51612903225806,87.27065004887582,80.95499581064095,77.19298245614036,6361.065782927785,142122.13156585558,116677.86843414445,0.5,0,0,0.4596943,71.05263157894737,0.842, 현대차도 탈 내연기관 선언 배터리 상승세 탄력 받나,0.75,현대차 벤츠 포드 15개 차종 3만5천868대 제작결함 리콜,123400.0
1797,현대차,2020-01-31,128500,129500,124500,125000,1035126,-0.0196078431372549,5380,129000.0,5.88235294117647,68.44712063711111,79.58489612853937,72.1311475409836,6480.486905033729,141960.97381006746,116039.02618993254,0.6,1,0,0.2389464,51.51515151515152,0.923,현대차그룹 3형제 매출 첫 200조 돌파,0.833, 우한폐렴 여파 업계로 확산 현대차 특근도 취소,124400.0
1798,현대차,2020-02-03,123000,125000,121000,123500,1270442,-0.012,5380,127600.0,20.833333333333336,53.94712063711113,74.83146311310446,66.66666666666666,6524.447950028374,140648.89590005676,114551.10409994324,0.5926,1,0,0.28070438,42.42424242424242,0.846,현대차 사우디에 녹색 쏘나타 1000대 공항택시로 공급,0.75,중국 바이러스 유행에 현대차 부품공급도 차질,124900.0
1799,현대차,2020-02-04,123500,126000,122500,124000,1203992,0.0040485829959513,5380,126200.0,25.0,40.82212063711113,66.9708872405267,65.51724137931035,6517.991295354243,139235.98259070847,113164.01740929153,0.4138,1,0,0.32707515,45.45454545454545,0.875,현대차그룹 2019 굿디자인 어워드 7개 차종 수상,1.0,현대차 1월 30만4076대 판매 전년대비 3 6 하락,125450.0
1800,현대차,2020-02-05,125000,126000,123500,124000,1032267,0.0,5380,124800.0,31.57894736842105,29.56215253503776,56.0098328990494,64.28571428571428,6485.611605294813,137771.2232105896,111828.77678941036,0.3636,1,0,0.42503956,45.45454545454545,1.0,현대 기아 제네시스 7개 차종 굿디자인 어워드 수상,0.875,현대차 생산 7일부터 올스톱 부품 공급 끊겨,126050.0
1801,현대차,2020-02-06,125500,133000,125500,132000,1659774,0.064516129032258,5380,125700.0,91.66666666666666,34.99226006191948,45.55415490165812,74.28571428571428,6829.64705877005,139359.2941175401,112040.70588245992,0.3871,1,1,0.79728234,93.5483870967742,0.889, 현대차 5 이상 상승 2019 3Q 매출액 26 969십억 10 4 영업이익 379십억 31 0 ,0.917, 셧다운 현대차 노조 해외여행 자제 문제 원인은 사측 ,127550.0
1802,현대차,2020-02-07,130500,131000,127500,131000,999598,-0.0075757575757575,5380,126900.0,83.33333333333334,50.48245614035086,41.96122200230608,69.23076923076923,6756.040182486073,140412.08036497215,113387.91963502784,0.2083,1,1,0.6615683,83.33333333333334,0.909,현대차 호주에 수소차 넥쏘 20대 수출 예정,0.9,법원 현대차 하청노동자도 근로자 직접고용 해야 ,127950.0
1803,현대차,2020-02-10,129500,132000,129000,130000,669628,-0.0076335877862595,5380,128200.0,71.42857142857143,60.60150375939848,43.29209862676355,67.16417910447761,6433.056079835918,141066.11215967184,115333.88784032816,0.3429,1,1,0.5873385,75.0,0.812,현대차그룹 글로벌 전기 시장서 2년 연속 톱10 ,0.812,현대 기아차 멈추니 모비스 금호타이어 줄줄이 생산중단,127900.0
1804,현대차,2020-02-11,131000,135000,130500,132500,949247,0.0192307692307691,5380,129900.0,78.26086956521739,71.25367767244195,49.37841003382971,70.4225352112676,6295.570706958498,142491.141413917,117308.858586083,0.7692,1,1,0.6575233,82.14285714285714,0.889,작년 수소전기차 7574대 팔렸다 올해 현대차 Vs 토요타 정면 대결 ,0.652,현대기아차 공장 재가동 줄줄이 연기 정상화 차질,128050.0
1805,현대차,2020-02-12,132500,137500,132500,136000,1373302,0.0264150943396226,5380,132300.0,87.5,82.43788819875775,59.9535571665737,75.0,6404.357069502169,145108.71413900433,119491.28586099566,0.6667,0,1,0.749826,90.9090909090909,0.842,현대 기아차 스타트업 카누 와 맞손 차세대 전기차 플랫폼 공동개발,0.75,확 달라진 현대 노조 신종 코로나 위기 생산 증대로 극복하자 ,128550.0
1806,현대차,2020-02-13,137000,137500,133000,133000,1035208,-0.0220588235294117,5380,132500.0,55.00000000000001,75.1045548654244,67.97601612727469,59.67741935483871,6216.48910898294,144932.9782179659,120067.02178203412,0.5333,0,0,0.40752465,72.72727272727273,0.762,현대 기아차 카누와 차세대 전기차 플랫폼 공동개발,0.786,현대 아반떼HD 등 21개 차종 49만대 리콜,129100.0
1807,현대차,2020-02-14,132500,135000,131500,133500,591584,0.0037593984962405,5380,133000.0,52.94117647058824,69.0261234928754,71.6847495977796,55.35714285714286,5818.018743976463,144636.0374879529,121363.96251204707,0.9375,0,0,0.41605416,75.75757575757575,0.917,현대기아차 17종 충돌안전성 평가 가장 안전 ,0.714, 사설 고객 신뢰 되찾겠다 는 현대차 노조의 위기인식,129950.0
1808,현대차,2020-02-17,133500,136000,132500,135500,555451,0.0149812734082397,5380,134100.0,71.42857142857143,69.02612349287539,73.36967354447498,57.62711864406779,5725.002872901917,145550.00574580382,122649.99425419616,0.8667,0,1,0.6501706,86.66666666666667,0.778,G70 G80 등 현대기아 미국 IIHS 최고 안전한 차 17개 선정,0.889,현대차 비정규직노조 모든 하청노동자 정규직 고용하라 ,131150.0
